"lon","lat","annual_mean_temp","annual_pp"
-79.41202605,45.50107305,4.5,1.028
-79.41202605,45.58441075,4.4,1.02
-79.41202605,45.66774845,4.3,1.012
-79.41202605,45.75108615,4.1,1.006
-79.41202605,45.83442385,4.1,0.996
-79.41202605,45.91776155,4.1,0.982
-79.41202605,46.00109925,4.2,0.962
-79.41202605,46.08443695,4.4,0.941
-79.41202605,46.16777465,4.4,0.927
-79.41202605,46.25111235,4.4,0.92
-79.41202605,46.33445005,3.7,0.941
-79.41202605,46.41778775,3.4,0.946
-79.41202605,46.50112545,3.4,0.935
-79.41202605,46.58446315,3.4,0.926
-79.41202605,46.66780085,3.5,0.912
-79.41202605,46.75113855,3.4,0.905
-79.41202605,46.83447625,3.4,0.895
-79.41202605,46.91781395,3.3,0.888
-79.41202605,47.00115165,3.4,0.873
-79.41202605,47.08448935,3.2,0.868
-79.41202605,47.16782705,3.3,0.854
-79.41202605,47.25116475,3,0.854
-79.41202605,47.33450245,3,0.845
-79.41202605,47.41784015,2.9,0.837
-79.41202605,47.50117785,2.8,0.833
-79.41202605,47.58451555,2.6,0.838
-79.41202605,47.66785325,2.3,0.845
-79.41202605,47.75119095,2.1,0.847
-79.41202605,47.83452865,2,0.845
-79.41202605,47.91786635,1.8,0.849
-79.41202605,48.00120405,1.8,0.845
-79.41202605,48.08454175,1.8,0.84
-79.41202605,48.16787945,1.6,0.845
-79.41202605,48.25121715,1.5,0.843
-79.41202605,48.33455485,1.4,0.847
-79.41202605,48.41789255,1.4,0.845
-79.41202605,48.50123025,1.2,0.849
-79.41202605,48.58456795,1.2,0.846
-79.41202605,48.66790565,1.1,0.843
-79.41202605,48.75124335,0.9,0.846
-79.41202605,48.83458105,0.8,0.846
-79.41202605,48.91791875,0.6,0.848
-79.41202605,49.00125645,0.4,0.852
-79.41202605,49.08459415,0.3,0.851
-79.41202605,49.16793185,0.3,0.845
-79.41202605,49.25126955,0.3,0.837
-79.41202605,49.33460725,0.3,0.833
-79.41202605,49.41794495,0.2,0.828
-79.41202605,49.50128265,0.1,0.827
-79.41202605,49.58462035,0.1,0.822
-79.41202605,49.66795805,0.1,0.818
-79.41202605,49.75129575,0,0.815
-79.41202605,49.83463345,0,0.81
-79.41202605,49.91797115,-0.1,0.808
-79.41202605,50.00130885,-0.2,0.809
-79.41202605,50.08464655,-0.3,0.807
-79.41202605,50.16798425,-0.3,0.802
-79.41202605,50.25132195,-0.3,0.796
-79.41202605,50.33465965,-0.4,0.791
-79.41202605,50.41799735,-0.3,0.782
-79.41202605,50.50133505,-0.2,0.77
-79.41202605,50.58467275,0,0.76
-79.41202605,50.66801045,0,0.752
-79.41202605,50.75134815,0,0.745
-79.41202605,50.83468585,-0.1,0.744
-79.41202605,50.91802355,-0.2,0.742
-79.41202605,51.00136125,-0.2,0.738
-79.41202605,51.08469895,-0.2,0.734
-79.41202605,51.16803665,-0.3,0.729
-79.41202605,51.25137435,-0.3,0.726
-79.41202605,51.33471205,-0.4,0.723
-79.41202605,51.41804975,-0.5,0.722
-79.41202605,51.50138745,-0.7,0.721
-79.41202605,51.58472515,-0.7,0.718
-79.41202605,51.91807595,-1,0.702
-79.41202605,52.00141365,-1.1,0.698
-79.41202605,52.08475135,-1.1,0.693
-79.41202605,52.16808905,-1.3,0.694
-79.41202605,52.25142675,-1.3,0.689
-79.41202605,54.16819385,-3,0.616
-79.41202605,54.25153155,-3.1,0.614
-79.41202605,54.33486925,-3.2,0.614
-79.41202605,54.41820695,-3.3,0.612
-79.41202605,54.50154465,-3.4,0.61
-79.41202605,54.58488235,-3.4,0.608
-79.41202605,54.66822005,-3.6,0.608
-79.41202605,54.75155775,-3.5,0.601
-79.41202605,54.83489545,-3.6,0.6
-79.41202605,55.66827245,-4.3,0.569
-79.41202605,55.83494785,-4.4,0.56
-79.41202605,55.91828555,-4.6,0.559
-79.41202605,56.00162325,-4.6,0.555
-79.41202605,56.08496095,-4.7,0.552
-79.41202605,56.16829865,-4.8,0.549
-79.41202605,56.25163635,-4.9,0.545
-79.41202605,56.33497405,-4.8,0.538
-79.41202605,61.91859995,-8.5,0.349
-79.41202605,62.00193765,-8.6,0.349
-79.41202605,62.08527535,-8.7,0.348
-79.41202605,62.16861305,-8.8,0.348
-79.41202605,62.25195075,-8.8,0.344
-79.32868835,45.00104685,5.3,0.997
-79.32868835,45.08438455,5.1,1.013
-79.32868835,45.16772225,5,1.018
-79.32868835,45.25105995,4.9,1.021
-79.32868835,45.33439765,4.7,1.029
-79.32868835,45.41773535,4.5,1.03
-79.32868835,45.50107305,4.4,1.028
-79.32868835,45.58441075,4.2,1.023
-79.32868835,45.66774845,4.2,1.01
-79.32868835,45.75108615,4,1.007
-79.32868835,45.83442385,3.8,1.004
-79.32868835,45.91776155,3.6,0.999
-79.32868835,46.00109925,3.9,0.972
-79.32868835,46.08443695,4.3,0.944
-79.32868835,46.16777465,4.3,0.931
-79.32868835,46.25111235,4.3,0.921
-79.32868835,46.33445005,3.8,0.936
-79.32868835,46.41778775,3.4,0.945
-79.32868835,46.50112545,3.5,0.934
-79.32868835,46.58446315,3.5,0.923
-79.32868835,46.66780085,3.3,0.923
-79.32868835,46.75113855,3.4,0.908
-79.32868835,46.83447625,3.6,0.889
-79.32868835,46.91781395,3.5,0.881
-79.32868835,47.00115165,3.2,0.885
-79.32868835,47.08448935,3,0.881
-79.32868835,47.16782705,3,0.871
-79.32868835,47.25116475,3,0.862
-79.32868835,47.33450245,2.9,0.854
-79.32868835,47.41784015,2.8,0.85
-79.32868835,47.50117785,2.7,0.847
-79.32868835,47.58451555,2.5,0.849
-79.32868835,47.66785325,2.2,0.853
-79.32868835,47.75119095,2.1,0.854
-79.32868835,47.83452865,2,0.85
-79.32868835,47.91786635,2,0.845
-79.32868835,48.00120405,1.9,0.843
-79.32868835,48.08454175,1.8,0.843
-79.32868835,48.16787945,1.6,0.848
-79.32868835,48.25121715,1.4,0.853
-79.32868835,48.33455485,1.3,0.853
-79.32868835,48.41789255,1.4,0.848
-79.32868835,48.50123025,1.3,0.849
-79.32868835,48.58456795,1.2,0.848
-79.32868835,48.66790565,1.1,0.847
-79.32868835,48.75124335,0.9,0.846
-79.32868835,48.83458105,0.8,0.846
-79.32868835,48.91791875,0.6,0.85
-79.32868835,49.00125645,0.5,0.847
-79.32868835,49.08459415,0.5,0.844
-79.32868835,49.16793185,0.4,0.841
-79.32868835,49.25126955,0.3,0.839
-79.32868835,49.33460725,0.2,0.838
-79.32868835,49.41794495,0.2,0.834
-79.32868835,49.50128265,0.1,0.83
-79.32868835,49.58462035,0,0.826
-79.32868835,49.66795805,0,0.822
