B M R T
0 0.002 0.458 0.54
0 0.012 0.372 0.616
0 0 0.504 0.496
0.216 0.444 0.254 0.086
0.2 0.248 0.494 0.058
0.216 0.444 0.254 0.086
0.2 0.248 0.494 0.058
0.216 0.444 0.254 0.086
0.2 0.248 0.494 0.058
0 0 0.272 0.728
0 0.036 0.676 0.288
0 0.068 0.28 0.652
0 0 0.504 0.496
0 0 0.636 0.364
0 0 0.676 0.324
0 0 0.54 0.46
0 0 0.324 0.676
0.034 0.008 0.726 0.232
0 0.434 0.04 0.526
0 0.002 0.514 0.484
0 0.434 0.04 0.526
0 0 0.378 0.622
0 0 0.312 0.688
0 0 0.15 0.85
0 0 0.152 0.848
0 0 0.272 0.728
0 0 0.39 0.61
0 0 0.24 0.76
0 0.01 0.108 0.882
0 0.01 0.108 0.882
0 0 0.576 0.424
0.002 0 0.174 0.824
0 0 0.226 0.774
0 0 0.576 0.424
0.272 0.014 0.472 0.242
0.088 0.184 0.54 0.188
0.272 0.014 0.472 0.242
0.088 0.184 0.54 0.188
0.088 0.184 0.54 0.188
0.088 0.184 0.54 0.188
0.088 0.184 0.54 0.188
0.448 0.032 0.3 0.22
0 0 0.15 0.85
0 0.116 0.83 0.054
0.002 0 0.926 0.072
0 0.116 0.83 0.054
0.002 0 0.926 0.072
0 0 0.262 0.738
0.874 0 0.126 0
0.55 0.01 0.428 0.012
0.18 0.074 0.746 0
0.862 0.03 0.108 0
0.584 0 0.416 0
0.018 0.006 0.93 0.046
0.016 0.114 0.53 0.34
0.018 0.006 0.93 0.046
0.016 0.114 0.53 0.34
0 0 0.294 0.706
0.076 0.644 0.126 0.154
0.202 0.19 0.214 0.394
0.086 0.322 0.336 0.256
0.076 0.356 0.022 0.546
0.12 0.736 0.022 0.122
0.11 0.662 0.062 0.166
0.288 0 0.712 0
0.474 0 0.526 0
0.498 0 0.502 0
0.162 0.088 0.43 0.32
0.026 0.744 0.078 0.152
0.192 0.608 0.112 0.088
0.014 0.18 0.306 0.5
0.318 0.392 0.282 0.008
0.204 0.104 0.66 0.032
0.098 0.454 0.438 0.01
0.262 0.22 0.516 0.002
0.066 0.13 0.39 0.414
0.182 0.344 0.32 0.154
0.22 0.318 0.346 0.116
0.038 0.39 0.484 0.088
0.102 0.086 0.44 0.372
0.062 0.196 0.588 0.154
0.052 0.252 0.588 0.108
0.384 0.186 0.348 0.082
0.126 0.214 0.358 0.302
0.338 0 0.662 0
0.348 0 0.652 0
0.76 0 0.238 0.002
0.516 0 0.484 0
0.418 0 0.582 0
0.596 0 0.404 0
0.502 0 0.498 0
0.28 0.512 0.198 0.01
0.66 0.058 0.28 0.002
0.296 0.14 0.564 0
0.428 0.478 0.092 0.002
0.208 0.116 0.668 0.008
0.598 0.098 0.302 0.002
0.454 0.394 0.15 0.002
0.206 0.324 0.296 0.174
0.41 0 0.59 0
0.18 0 0.82 0
0.002 0 0.55 0.448
0 0 0.742 0.258
0.002 0 0.55 0.448
0 0 0.742 0.258
0 0 0.202 0.798
0 0 0.094 0.906
0.764 0 0.236 0
0.098 0 0.902 0
0.702 0 0.298 0
0.506 0.028 0.466 0
0.744 0.026 0.23 0
0.436 0.198 0.336 0.03
0 0 0.308 0.692
0 0 0.514 0.486
0 0 0.42 0.58
