B M R T
0 0 0.182 0.818
0.008 0.26 0.224 0.508
0 0.032 0.518 0.45
0 0 0.582 0.418
0 0.032 0.518 0.45
0 0.032 0.518 0.45
0 0.016 0.046 0.938
0 0.016 0.046 0.938
0 0.016 0.046 0.938
0 0.016 0.046 0.938
0 0 0.492 0.508
0 0 0.588 0.412
0 0 0.492 0.508
0 0 0.588 0.412
0 0 0.428 0.572
0 0 0.492 0.508
0.002 0.024 0.39 0.584
0 0 0.428 0.572
0 0 0.492 0.508
0.002 0.024 0.39 0.584
0.036 0.32 0.026 0.618
0.17 0.038 0.77 0.022
0.094 0.016 0.322 0.568
0.04 0.062 0.61 0.288
0.654 0.206 0.034 0.106
0.068 0.052 0.876 0.004
0.098 0.016 0.876 0.01
0.654 0.206 0.034 0.106
0.036 0.246 0.47 0.248
0.036 0.246 0.47 0.248
0.036 0.246 0.47 0.248
0.036 0.246 0.47 0.248
0.654 0.206 0.034 0.106
0.058 0.234 0.306 0.402
0.058 0.234 0.306 0.402
0.056 0.018 0.166 0.76
0 0 0.394 0.606
0 0 0.394 0.606
0 0 0.394 0.606
0 0 0.394 0.606
0 0 0.154 0.846
0.036 0.054 0.874 0.036
0.06 0.262 0.552 0.126
0.036 0.054 0.874 0.036
0.06 0.262 0.552 0.126
0.036 0.054 0.874 0.036
0.06 0.262 0.552 0.126
0.234 0.118 0.558 0.09
0.044 0.11 0.666 0.18
0.234 0.118 0.558 0.09
0.044 0.11 0.666 0.18
0.234 0.118 0.558 0.09
0.044 0.11 0.666 0.18
0 0 0.28 0.72
0 0 0.28 0.72
0.204 0.056 0.678 0.062
0 0.316 0.65 0.034
0.05 0.01 0.888 0.052
0.14 0 0.85 0.01
0 0 0.332 0.668
0 0 0.356 0.644
0.016 0.066 0.364 0.554
0.008 0.376 0.096 0.52
0 0.316 0.65 0.034
0 0.054 0.406 0.54
0 0.174 0.11 0.716
0 0.002 0.176 0.822
0.114 0.096 0.734 0.056
0.084 0.008 0.406 0.502
0 0 0.306 0.694
0 0 0.468 0.532
0.048 0.02 0.868 0.064
0.006 0 0.666 0.328
0 0 0.562 0.438
0.032 0.046 0.664 0.258
0.048 0.02 0.868 0.064
0.006 0 0.666 0.328
0.37 0.07 0.498 0.062
0.33 0.052 0.528 0.09
0.37 0.07 0.498 0.062
0.33 0.052 0.528 0.09
0.37 0.07 0.498 0.062
0.33 0.052 0.528 0.09
0.37 0.07 0.498 0.062
0.33 0.052 0.528 0.09
0.03 0 0.964 0.006
0.014 0.03 0.8 0.156
0.03 0 0.964 0.006
0.014 0.03 0.8 0.156
0.33 0.008 0.642 0.02
0.128 0.07 0.696 0.106
0 0 0.564 0.436
0.03 0 0.964 0.006
0.014 0.03 0.8 0.156
0 0 0.378 0.622
0.006 0.046 0.214 0.734
0.07 0.222 0.564 0.144
0.078 0.132 0.624 0.166
0 0 0.47 0.53
0 0 0.47 0.53
0 0 0.47 0.53
0 0 0.47 0.53
0.018 0.04 0.192 0.75
0 0 0.842 0.158
0.018 0.04 0.192 0.75
0.018 0.04 0.192 0.75
0 0 0.802 0.198
0 0 0.546 0.454
0 0 0.386 0.614
0 0 0.046 0.954
0.006 0 0.742 0.252
0 0 0.276 0.724
0 0 0.43 0.57
0.212 0.724 0.03 0.034
0 0 0.468 0.532
0 0 0.34 0.66
0 0 0.182 0.818
0 0 0.568 0.432
0.054 0.01 0.68 0.256
0 0 0.328 0.672
0 0 0.242 0.758
0 0 0.386 0.614
0 0 0.046 0.954
0 0 0.492 0.508
0.03 0.006 0.36 0.604
0.304 0.032 0.168 0.496
0.304 0.032 0.168 0.496
0 0 0.638 0.362
0 0.014 0.078 0.908
0.304 0.032 0.168 0.496
0.212 0.724 0.03 0.034
0 0 0.57 0.43
0 0 0.264 0.736
0.008 0.146 0.596 0.25
0.056 0.082 0.586 0.276
0.002 0.07 0.518 0.41
0 0.02 0.942 0.038
0 0 0.402 0.598
0 0 0.25 0.75
0 0 0.518 0.482
0 0 0.482 0.518
0.006 0.022 0.934 0.038
0.02 0.408 0.414 0.158
0.006 0.022 0.934 0.038
0.02 0.408 0.414 0.158
0.006 0.022 0.934 0.038
0.02 0.408 0.414 0.158
0.006 0.022 0.934 0.038
0.02 0.408 0.414 0.158
0.006 0.022 0.934 0.038
0.02 0.408 0.414 0.158
0 0 0.578 0.422
0 0 0.4 0.6
0 0 0.184 0.816
0.476 0.018 0.314 0.192
0.09 0.056 0.806 0.048
0.476 0.018 0.314 0.192
0.09 0.056 0.806 0.048
0.476 0.018 0.314 0.192
0.09 0.056 0.806 0.048
0.212 0.23 0.432 0.126
0.106 0.144 0.198 0.552
0 0 0.332 0.668
0 0 0.7 0.3
0.104 0.07 0.414 0.412
0 0 0.582 0.418
0.068 0.158 0.292 0.482
0.068 0.158 0.292 0.482
0.008 0.204 0.436 0.352
0.008 0.204 0.436 0.352
0 0 0.576 0.424
0 0 0.628 0.372
0 0 0.226 0.774
0 0 0.304 0.696
0 0 0.308 0.692
0 0 0.2 0.8
0 0 0.46 0.54
0 0 0.284 0.716
0 0 0.212 0.788
0 0 0.792 0.208
0 0.046 0.534 0.42
0 0 0.408 0.592
0 0 0.628 0.372
0 0 0.226 0.774
0 0.046 0.534 0.42
0 0 0.408 0.592
0 0.006 0.31 0.684
0 0 0.476 0.524
0 0 0.476 0.524
0.292 0.502 0.086 0.12
0.018 0.312 0.47 0.2
0.01 0.038 0.644 0.308
0.106 0.144 0.198 0.552
0.01 0.038 0.644 0.308
0.01 0.038 0.644 0.308
0.09 0.264 0.54 0.106
0.012 0.026 0.568 0.394
0.22 0.038 0.658 0.084
0.044 0.018 0.584 0.354
0 0 0.396 0.604
0 0 0.67 0.33
0 0 0.514 0.486
0.006 0 0.788 0.206
0.048 0.002 0.66 0.29
0.002 0.006 0.34 0.652
0.006 0 0.788 0.206
0.048 0.002 0.66 0.29
0.302 0.004 0.686 0.008
0.012 0.068 0.864 0.056
0.1 0.142 0.676 0.082
0.164 0.342 0.426 0.068
0.164 0.342 0.426 0.068
0 0 0.33 0.67
0.1 0.142 0.676 0.082
0 0 0.33 0.67
0.004 0.014 0.952 0.03
0.098 0 0.874 0.028
0 0 0.086 0.914
0.16 0.004 0.296 0.54
0.098 0 0.874 0.028
0.004 0.014 0.952 0.03
0.098 0 0.874 0.028
0.004 0.014 0.952 0.03
0.098 0 0.874 0.028
0 0 0.32 0.68
0 0 0.158 0.842
0.088 0.194 0.646 0.072
0.088 0.194 0.646 0.072
0 0 0.64 0.36
0 0 0.116 0.884
0.004 0.014 0.952 0.03
0.098 0 0.874 0.028
0.004 0.014 0.952 0.03
0.098 0 0.874 0.028
0 0 0.668 0.332
0 0.174 0.18 0.646
0 0 0.23 0.77
0 0 0.23 0.77
0.192 0 0.64 0.168
0.192 0 0.64 0.168
0 0 0.596 0.404
0 0 0.13 0.87
0 0 0.23 0.77
0 0 0.432 0.568
0 0 0.596 0.404
0 0 0.13 0.87
0.028 0.294 0.476 0.202
0.066 0.462 0.282 0.19
0.014 0.22 0.264 0.502
0.068 0.048 0.706 0.178
0.002 0.068 0.284 0.646
0.086 0.024 0.8 0.09
0.008 0 0.732 0.26
0.086 0.024 0.8 0.09
0.008 0 0.732 0.26
0 0 0.086 0.914
0.432 0 0.084 0.484
0.01 0.014 0.852 0.124
0 0 0.226 0.774
0 0 0.098 0.902
0.178 0.132 0.446 0.244
0.052 0.006 0.236 0.706
0.178 0.132 0.446 0.244
0.052 0.006 0.236 0.706
0.178 0.132 0.446 0.244
0.052 0.006 0.236 0.706
0.178 0.132 0.446 0.244
0.052 0.006 0.236 0.706
0 0 0.348 0.652
0 0 0.214 0.786
0 0 0.342 0.658
0.32 0.334 0.016 0.33
0 0 0.214 0.786
0 0 0.342 0.658
0 0 0.214 0.786
0 0 0.342 0.658
0 0 0.214 0.786
0 0 0.342 0.658
0 0 0.212 0.788
0 0 0.422 0.578
0.302 0 0.698 0
0.524 0 0.476 0
0.542 0.054 0.386 0.018
0 0 0.414 0.586
0 0 0.202 0.798
0 0 0.58 0.42
0 0 0.68 0.32
0 0 0.484 0.516
0 0 0.68 0.32
0 0 0.484 0.516
0 0 0.47 0.53
0.03 0.024 0.884 0.062
0.002 0.186 0.402 0.41
0 0 0.302 0.698
0 0 0.22 0.78
0 0 0.456 0.544
0 0 0.22 0.78
0 0 0.456 0.544
0.41 0.006 0.584 0
0.35 0 0.65 0
0.474 0.366 0.096 0.064
0 0 0.234 0.766
0 0 0.122 0.878
0 0 0.438 0.562
0 0 0.14 0.86
0 0.004 0.594 0.402
0.004 0.004 0.432 0.56
0.138 0.126 0.28 0.456
0.012 0.006 0.922 0.06
0 0 0.248 0.752
0 0 0.048 0.952
0.088 0.052 0.624 0.236
0.052 0.214 0.23 0.504
0.004 0.222 0.608 0.166
0 0 0.668 0.332
0.004 0.222 0.608 0.166
0 0 0.318 0.682
0.386 0.438 0.176 0
0.062 0.476 0.254 0.208
0.178 0.354 0.24 0.228
0.086 0.092 0.538 0.284
0.014 0.016 0.82 0.15
0.014 0.016 0.82 0.15
0.04 0.006 0.338 0.616
0 0.002 0.094 0.904
0 0 0.356 0.644
0 0 0.018 0.982
0 0 0.56 0.44
0.082 0.034 0.852 0.032
0.132 0.004 0.326 0.538
0 0.004 0.458 0.538
0.082 0.034 0.852 0.032
0.132 0.004 0.326 0.538
0 0.002 0.094 0.904
0 0 0.356 0.644
0 0.002 0.094 0.904
0 0 0.356 0.644
0 0 0.348 0.652
0 0 0.144 0.856
0.254 0 0.734 0.012
0.31 0 0.686 0.004
0.032 0.322 0.566 0.08
0.032 0.322 0.566 0.08
0.332 0.47 0.152 0.046
0.332 0.47 0.152 0.046
0.098 0.048 0.324 0.53
0.098 0.048 0.324 0.53
0.032 0.322 0.566 0.08
0.032 0.322 0.566 0.08
0 0.254 0.454 0.292
0.008 0.056 0.842 0.094
0.098 0.048 0.324 0.53
0.098 0.048 0.324 0.53
0.18 0.686 0.086 0.048
0.134 0.376 0.18 0.31
0.136 0.29 0.48 0.094
0.048 0.368 0.304 0.28
0.042 0.336 0.43 0.192
0.394 0.18 0.28 0.146
0.156 0.01 0.826 0.008
0.044 0.762 0.192 0.002
0.35 0.05 0.59 0.01
0.032 0.574 0.352 0.042
0.066 0.19 0.732 0.012
0.01 0.638 0.232 0.12
0.092 0.474 0.066 0.368
0 0 0.41 0.59
0.482 0.084 0.422 0.012
0.376 0.336 0.288 0
0.182 0.2 0.37 0.248
0 0 0.064 0.936
0 0 0.484 0.516
0 0 0.224 0.776
0.024 0.016 0.778 0.182
0.058 0.074 0.794 0.074
0.024 0.016 0.778 0.182
0.058 0.074 0.794 0.074
0 0 0.484 0.516
0 0 0.224 0.776
0.002 0.034 0.928 0.036
0.002 0.034 0.928 0.036
0.002 0.034 0.928 0.036
0 0 0.728 0.272
0 0 0.336 0.664
0 0 0.63 0.37
0 0 0.086 0.914
0 0 0.31 0.69
0.006 0.05 0.718 0.226
0 0 0.26 0.74
0 0 0.516 0.484
0.038 0.16 0.318 0.484
0 0 0.49 0.51
0.006 0.018 0.666 0.31
0 0 0.276 0.724
0 0 0.662 0.338
0 0 0.618 0.382
0 0 0.574 0.426
0 0 0.432 0.568
0.038 0.004 0.612 0.346
0 0 0.318 0.682
0 0 0.356 0.644
0 0 0.018 0.982
0 0 0.254 0.746
0 0 0.018 0.982
0 0 0.254 0.746
0 0 0.018 0.982
0 0 0.254 0.746
0 0 0.314 0.686
0 0 0.286 0.714
0 0 0.3 0.7
0.214 0.008 0.672 0.106
0.078 0.014 0.854 0.054
0.104 0.33 0.394 0.172
0 0 0.498 0.502
0 0 0.308 0.692
0.22 0.038 0.658 0.084
0.044 0.018 0.584 0.354
0.07 0.8 0.074 0.056
0 0 0.632 0.368
0.166 0.266 0.38 0.188
0.298 0.56 0.116 0.026
0.076 0 0.682 0.242
0 0 0.192 0.808
0 0 0.338 0.662
0 0.056 0.36 0.584
0.002 0.006 0.34 0.652
0 0 0.658 0.342
0 0 0.136 0.864
0 0 0.412 0.588
0 0 0.136 0.864
0 0 0.412 0.588
0.006 0.026 0.924 0.044
0.2 0.218 0.494 0.088
0.076 0.31 0.43 0.184
0.49 0.24 0.212 0.058
0 0 0.256 0.744
0 0 0.334 0.666
0 0 0.49 0.51
0.002 0.02 0.332 0.646
0 0 0.528 0.472
0.166 0.266 0.38 0.188
0.298 0.56 0.116 0.026
0 0 0.786 0.214
0.22 0.252 0.198 0.33
0.1 0 0.828 0.072
0.076 0.31 0.43 0.184
0.49 0.24 0.212 0.058
0.22 0.252 0.198 0.33
0.1 0 0.828 0.072
0.22 0.252 0.198 0.33
0.1 0 0.828 0.072
0 0 0.724 0.276
0.002 0.02 0.332 0.646
0 0 0.724 0.276
0.008 0.506 0.39 0.096
0 0 0.642 0.358
0.002 0.002 0.264 0.732
0 0 0.306 0.694
0 0 0.18 0.82
0 0 0.306 0.694
0 0 0.18 0.82
0 0 0.306 0.694
0 0 0.18 0.82
0 0 0.084 0.916
0 0 0.294 0.706
0 0 0.286 0.714
0 0 0.084 0.916
0 0 0.564 0.436
0 0 0.36 0.64
0 0 0.278 0.722
0 0 0.374 0.626
0 0 0.234 0.766
0.002 0.102 0.308 0.588
0 0 0.184 0.816
0 0 0.242 0.758
0.146 0.036 0.686 0.132
0.042 0.018 0.594 0.346
0.034 0.046 0.878 0.042
0 0 0.668 0.332
0 0 0.204 0.796
0.034 0.004 0.87 0.092
0.08 0.13 0.198 0.592
0.034 0.004 0.87 0.092
0.08 0.13 0.198 0.592
0 0 0.806 0.194
0 0 0.36 0.64
0.022 0.29 0.59 0.098
0.016 0.146 0.54 0.298
0.032 0.118 0.636 0.214
0.034 0.004 0.87 0.092
0.08 0.13 0.198 0.592
0.162 0.09 0.634 0.114
0.162 0.09 0.634 0.114
0.316 0.262 0.2 0.222
0 0 0.532 0.468
0 0 0.23 0.77
0.006 0.398 0.18 0.416
0.07 0 0.86 0.07
0.098 0.626 0.056 0.22
0.08 0.316 0.176 0.428
0 0 0.032 0.968
0 0.008 0.088 0.904
0.052 0.008 0.292 0.648
0.052 0.008 0.292 0.648
0.006 0.398 0.18 0.416
0.07 0 0.86 0.07
0 0 0.108 0.892
0 0 0.588 0.412
0 0 0.138 0.862
0 0 0.184 0.816
0 0 0.108 0.892
0 0 0.588 0.412
0 0 0.178 0.822
0 0 0.138 0.862
0 0 0.184 0.816
0 0 0.77 0.23
0 0 0.302 0.698
0.142 0.622 0.182 0.054
0.458 0.298 0.102 0.142
0.028 0.462 0.124 0.386
0.076 0.258 0.376 0.29
0.508 0.086 0.174 0.232
0.324 0.438 0.168 0.07
0.396 0.12 0.182 0.302
0.076 0.536 0.278 0.11
0.388 0.472 0.114 0.026
0.176 0.588 0.104 0.132
0.132 0.596 0.216 0.056
0.422 0.212 0.254 0.112
0.124 0.172 0.388 0.316
0.224 0.672 0.074 0.03
0.092 0.598 0.178 0.132
0.082 0.412 0.254 0.252
0.202 0.408 0.27 0.12
0.328 0.314 0.228 0.13
0.21 0.524 0.22 0.046
0.318 0.422 0.176 0.084
0.014 0.054 0.66 0.272
0.04 0.068 0.748 0.144
0.21 0.204 0.376 0.21
0.01 0.754 0.126 0.11
0.116 0.488 0.268 0.128
0.15 0.504 0.344 0.002
0.316 0.476 0.206 0.002
0.374 0.106 0.484 0.036
0.244 0.384 0.372 0
0.004 0.168 0.556 0.272
0.124 0.002 0.846 0.028
0 0 0.484 0.516
0 0 0.53 0.47
0 0 0.53 0.47
0.012 0.584 0.11 0.294
0 0 0.126 0.874
0 0 0.53 0.47
0.008 0.004 0.554 0.434
0.036 0.232 0.442 0.29
0.356 0.094 0.52 0.03
0.356 0.364 0.104 0.176
0.044 0.574 0.146 0.236
0.356 0.364 0.104 0.176
0.356 0.364 0.104 0.176
0 0 0.022 0.978
0.356 0.364 0.104 0.176
0.096 0.662 0.212 0.03
0.016 0.006 0.938 0.04
0.046 0 0.592 0.362
0.084 0.044 0.136 0.736
0 0 0.696 0.304
0.084 0.044 0.136 0.736
0 0 0.2 0.8
0 0 0.152 0.848
0.35 0 0.65 0
0.474 0.012 0.492 0.022
0.12 0.336 0.514 0.03
0.038 0.026 0.878 0.058
0.12 0.336 0.514 0.03
0.038 0.026 0.878 0.058
0.12 0.336 0.514 0.03
0.038 0.026 0.878 0.058
0.564 0.316 0.082 0.038
0.12 0.336 0.514 0.03
0.038 0.026 0.878 0.058
0.12 0.336 0.514 0.03
0.038 0.026 0.878 0.058
0.116 0.046 0.776 0.062
0.26 0.016 0.664 0.06
0.26 0.016 0.664 0.06
0.344 0.21 0.288 0.158
0.24 0.328 0.376 0.056
0.288 0.3 0.362 0.05
0.32 0.526 0.15 0.004
0 0 0.176 0.824
0 0 0.29 0.71
0.234 0.05 0.64 0.076
0.74 0.036 0.224 0
0.12 0.598 0.256 0.026
0.286 0.168 0.524 0.022
0.486 0.132 0.15 0.232
0 0 0.124 0.876
0 0 0.418 0.582
0 0 0.082 0.918
0 0 0.484 0.516
0 0 0.082 0.918
0 0 0.484 0.516
0 0 0.254 0.746
0 0 0.128 0.872
0 0 0.254 0.746
0 0 0.128 0.872
0 0 0.254 0.746
0 0 0.128 0.872
0 0 0.254 0.746
0 0 0.128 0.872
0 0 0.19 0.81
0 0 0.124 0.876
0 0 0.418 0.582
0 0 0.404 0.596
0 0 0.17 0.83
0 0 0.636 0.364
0 0 0.124 0.876
0 0 0.418 0.582
0 0 0.124 0.876
0 0 0.418 0.582
0 0 0.828 0.172
0.258 0.208 0.242 0.292
0.05 0.092 0.362 0.496
0.162 0.456 0.046 0.336
0.198 0.272 0.252 0.278
0.258 0.208 0.242 0.292
0.05 0.092 0.362 0.496
0.444 0.424 0.104 0.028
0.174 0.174 0.502 0.15
0.258 0.208 0.242 0.292
0.05 0.092 0.362 0.496
0.258 0.208 0.242 0.292
0.05 0.092 0.362 0.496
0.138 0.016 0.454 0.392
0.038 0 0.662 0.3
0.004 0.006 0.306 0.684
0.002 0.07 0.608 0.32
0.302 0.244 0.13 0.324
0.214 0.434 0.276 0.076
0 0.01 0.22 0.77
0 0 0.548 0.452
0 0 0.752 0.248
0 0 0.618 0.382
0 0 0.366 0.634
0 0 0.788 0.212
0 0.012 0.332 0.656
0.01 0.052 0.83 0.108
0 0 0.414 0.586
0 0 0.23 0.77
0 0 0.548 0.452
0.214 0.042 0.554 0.19
0 0 0.2 0.8
0 0 0.234 0.766
0.02 0.082 0.648 0.25
0.204 0.072 0.46 0.264
0 0 0.372 0.628
0 0 0.286 0.714
0 0 0.372 0.628
0 0 0.286 0.714
0 0 0.192 0.808
0.03 0.024 0.936 0.01
0 0 0.274 0.726
0 0 0.308 0.692
0.356 0.368 0.27 0.006
0.032 0.218 0.712 0.038
0.378 0.238 0.376 0.008
0.356 0.368 0.27 0.006
0.032 0.218 0.712 0.038
0.356 0.368 0.27 0.006
0.032 0.218 0.712 0.038
0.128 0.646 0.056 0.17
0.24 0.206 0.49 0.064
0.128 0.646 0.056 0.17
0.24 0.206 0.49 0.064
0.128 0.646 0.056 0.17
0.24 0.206 0.49 0.064
0.366 0.488 0.058 0.088
0.668 0.114 0.152 0.066
0.094 0.504 0.186 0.216
0.178 0.556 0.05 0.216
0 0 0.122 0.878
0.366 0.48 0.116 0.038
0.53 0.21 0.2 0.06
0.128 0.646 0.056 0.17
0.24 0.206 0.49 0.064
0 0 0.564 0.436
0 0 0.594 0.406
0 0 0.36 0.64
0.094 0.504 0.186 0.216
0.178 0.556 0.05 0.216
0.094 0.504 0.186 0.216
0.178 0.556 0.05 0.216
0 0.074 0.506 0.42
0 0 0.93 0.07
0 0.074 0.506 0.42
0 0 0.93 0.07
0.018 0.004 0.6 0.378
0 0.008 0.456 0.536
0.018 0.004 0.6 0.378
0 0.008 0.456 0.536
0 0 0.402 0.598
0.098 0.17 0.656 0.076
0.286 0.218 0.49 0.006
0.208 0.38 0.088 0.324
0.324 0.004 0.066 0.606
0.01 0.016 0.008 0.966
0.01 0.302 0.346 0.342
0.114 0.232 0.46 0.194
0.014 0.69 0.244 0.052
0.366 0.504 0.118 0.012
0.198 0.508 0.13 0.164
0.036 0.732 0.08 0.152
0.002 0.132 0.802 0.064
0.21 0.218 0.556 0.016
0.162 0.108 0.658 0.072
0.234 0.288 0.342 0.136
0.146 0.754 0.098 0.002
0.404 0.028 0.42 0.148
0.078 0.012 0.7 0.21
0.078 0.012 0.7 0.21
0.014 0.016 0.916 0.054
0.176 0.306 0.286 0.232
0.386 0.268 0.184 0.162
0.028 0.618 0.088 0.266
0.364 0.496 0.104 0.036
0.544 0.274 0.1 0.082
0.114 0.232 0.46 0.194
0.012 0.136 0.608 0.244
0.056 0.072 0.742 0.13
0.328 0.132 0.336 0.204
0.174 0.58 0.196 0.05
0.056 0.072 0.742 0.13
0.056 0.072 0.742 0.13
0 0 0.252 0.748
0.002 0 0.688 0.31
0.174 0.114 0.594 0.118
0.104 0.212 0.124 0.56
0.328 0.132 0.336 0.204
0.174 0.58 0.196 0.05
0.328 0.132 0.336 0.204
0.174 0.58 0.196 0.05
0.328 0.132 0.336 0.204
0.174 0.58 0.196 0.05
0 0.002 0.064 0.934
0 0 0.408 0.592
0 0 0.624 0.376
0 0 0.56 0.44
0.002 0 0.998 0
0.124 0.042 0.288 0.546
0.124 0.042 0.288 0.546
0 0 0.538 0.462
0 0 0.538 0.462
0.014 0.046 0.584 0.356
0.014 0.046 0.584 0.356
0.014 0.046 0.584 0.356
0.018 0.014 0.676 0.292
0 0.006 0.988 0.006
0.1 0.002 0.852 0.046
0.016 0.12 0.84 0.024
0 0 0.406 0.594
0.126 0.028 0.812 0.034
0.06 0.096 0.632 0.212
0.02 0.002 0.816 0.162
0.198 0.006 0.744 0.052
0.002 0 0.688 0.31
0 0 0.616 0.384
0.004 0.004 0.664 0.328
0.074 0.038 0.596 0.292
0.126 0.09 0.344 0.44
0 0.004 0.598 0.398
0.074 0.038 0.596 0.292
0.244 0.164 0.31 0.282
0.05 0.012 0.45 0.488
0.442 0 0.558 0
0.092 0.31 0.452 0.146
0.092 0.264 0.162 0.482
0.502 0.116 0.314 0.068
0.074 0.038 0.596 0.292
0.35 0.122 0.27 0.258
0.078 0.802 0.058 0.062
0.194 0.348 0.218 0.24
0.754 0.14 0.088 0.018
0.162 0.424 0.398 0.016
0.226 0.362 0.164 0.248
0.002 0.018 0.35 0.63
0.058 0.018 0.602 0.322
0.04 0.014 0.858 0.088
0 0 0.57 0.43
0 0 0.344 0.656
0 0.026 0.362 0.612
0 0.026 0.362 0.612
0.002 0.018 0.35 0.63
0.058 0.018 0.602 0.322
0.002 0.018 0.35 0.63
0.058 0.018 0.602 0.322
0.014 0.05 0.808 0.128
0.014 0.05 0.808 0.128
0.09 0.002 0.902 0.006
0.216 0.012 0.714 0.058
0.09 0.002 0.902 0.006
0.216 0.012 0.714 0.058
0.014 0.05 0.808 0.128
0.074 0 0.21 0.716
0.004 0 0.526 0.47
0 0 0.338 0.662
0.014 0.05 0.808 0.128
0.034 0.044 0.57 0.352
0.596 0.322 0.066 0.016
0 0 0.544 0.456
0.034 0.044 0.57 0.352
0.596 0.322 0.066 0.016
0.006 0.086 0.618 0.29
0.024 0.144 0.824 0.008
0.108 0.022 0.838 0.032
0.138 0.026 0.806 0.03
0.262 0.384 0.294 0.06
0.262 0.384 0.294 0.06
0.2 0.62 0.128 0.052
0.262 0.384 0.294 0.06
0.2 0.62 0.128 0.052
0.03 0.554 0.398 0.018
0.266 0.134 0.254 0.346
0.03 0.554 0.398 0.018
0.266 0.134 0.254 0.346
0.03 0.554 0.398 0.018
0.266 0.134 0.254 0.346
0.03 0.554 0.398 0.018
0.266 0.134 0.254 0.346
0.098 0.294 0.168 0.44
0.184 0.374 0.312 0.13
0.098 0.294 0.168 0.44
0.184 0.374 0.312 0.13
0.004 0.044 0.074 0.878
0 0 0.518 0.482
0 0 0.306 0.694
0.146 0.098 0.74 0.016
0.002 0 0.936 0.062
0.154 0.008 0.828 0.01
0.252 0 0.744 0.004
0 0 0.12 0.88
0.374 0.18 0.208 0.238
0.146 0.056 0.576 0.222
0 0 0.532 0.468
0.19 0.036 0.534 0.24
0.024 0.008 0.768 0.2
0.166 0.112 0.398 0.324
0.01 0.09 0.48 0.42
0 0 0.466 0.534
0.168 0.096 0.16 0.576
0 0 0.356 0.644
0 0 0.34 0.66
0 0 0.036 0.964
0.042 0 0.436 0.522
0.024 0.004 0.894 0.078
0.01 0.054 0.792 0.144
0.282 0.528 0.14 0.05
0.172 0.19 0.522 0.116
0.008 0.01 0.926 0.056
0.342 0.006 0.414 0.238
0.042 0 0.436 0.522
0 0.002 0.906 0.092
0 0.032 0.174 0.794
0 0.002 0.906 0.092
0.008 0.01 0.926 0.056
0.342 0.006 0.414 0.238
0.062 0.222 0.022 0.694
0.014 0.172 0.15 0.664
0.3 0.138 0.504 0.058
0.002 0.1 0.716 0.182
0.3 0.138 0.504 0.058
0.002 0.1 0.716 0.182
0.3 0.138 0.504 0.058
0.002 0.1 0.716 0.182
0.132 0.102 0.588 0.178
0.026 0.096 0.594 0.284
0.314 0 0.686 0
0.03 0.128 0.79 0.052
0 0.016 0.516 0.468
0.03 0.128 0.79 0.052
0 0.016 0.516 0.468
0.068 0.152 0.66 0.12
0 0 0.35 0.65
0 0 0.704 0.296
0 0 0.32 0.68
0 0 0.158 0.842
0 0 0.104 0.896
0 0 0.35 0.65
0 0 0.35 0.65
0 0 0.32 0.68
0 0 0.31 0.69
0 0.002 0.18 0.818
0 0 0.198 0.802
0 0 0.31 0.69
0 0 0.35 0.65
0 0 0.292 0.708
0 0 0.488 0.512
0 0 0.546 0.454
0 0 0.588 0.412
0 0 0.518 0.482
0 0 0.52 0.48
0 0 0.588 0.412
0 0 0.518 0.482
0 0 0.406 0.594
0 0 0.494 0.506
0 0 0.34 0.66
0 0 0.376 0.624
0 0 0.34 0.66
0 0 0.588 0.412
0 0 0.518 0.482
0.006 0.014 0.028 0.952
0.382 0.058 0.42 0.14
0.338 0.052 0.61 0
0.382 0.058 0.42 0.14
0.338 0.052 0.61 0
0.022 0.012 0.604 0.362
0 0.028 0.86 0.112
0 0 0.12 0.88
0 0 0.736 0.264
0.382 0.058 0.42 0.14
0.338 0.052 0.61 0
0.382 0.058 0.42 0.14
0.338 0.052 0.61 0
0 0 0.174 0.826
0 0 0.16 0.84
0 0 0.61 0.39
0 0 0.806 0.194
0.856 0 0.144 0
0.582 0 0.418 0
0 0 0.482 0.518
0 0.006 0.668 0.326
0 0.09 0.298 0.612
0 0.006 0.668 0.326
0 0.09 0.298 0.612
0.51 0.184 0.176 0.13
0.144 0.286 0.42 0.15
0.124 0.468 0.272 0.136
0.184 0 0.816 0
0.894 0 0.106 0
0.574 0 0.426 0
0.152 0.342 0.338 0.168
0.234 0.028 0.386 0.352
0.574 0.236 0.15 0.04
0.02 0.346 0.19 0.444
0.75 0 0.244 0.006
0.412 0.08 0.508 0
0.694 0.038 0.268 0
0.65 0 0.35 0
0.586 0.228 0.184 0.002
0.85 0.046 0.104 0
0.432 0.174 0.364 0.03
0.216 0.438 0.018 0.328
0.216 0.438 0.018 0.328
0.142 0.032 0.756 0.07
0.076 0.216 0.578 0.13
0.142 0.032 0.756 0.07
0.076 0.216 0.578 0.13
0.142 0.032 0.756 0.07
0.076 0.216 0.578 0.13
0 0 0.158 0.842
0 0 0.14 0.86
0.142 0.032 0.756 0.07
0.076 0.216 0.578 0.13
0.142 0.032 0.756 0.07
0.076 0.216 0.578 0.13
0 0 0.538 0.462
0 0 0.224 0.776
0.052 0.006 0.834 0.108
0.002 0.04 0.45 0.508
0.004 0.526 0.216 0.254
0.004 0.526 0.216 0.254
0 0 0.188 0.812
0 0 0.482 0.518
